,specimenCode,dateImageUploaded
0,14d618c,2016/8/25
0,14d709d-1,2016/8/25
0,14d806b,2016/8/23
0,14d826b,2016/8/23
0,14d826c,2016/8/25
0,14l318-3,2016/9/08
0,14l327b-3,2016/9/08
0,14l327c,2016/8/25
0,14l345b-3,2016/9/08
0,14l358c-3,2016/9/08
0,14l367a-3,2016/9/08
0,amnh-bu014,2015/2/13
0,amnh-bufb80,2012/10/03
0,amnh-buph01,2017/9/06
0,amnh-butj003,2016/11/07
0,amnh-nj1023,2015/2/13
0,amnh-nj1029,2015/2/12
0,amnh-nj667,2015/2/13
0,amnh-nj943a,2015/2/13
0,amnh-nj943b,2015/2/13
0,amnhdr10159,2012/1/19
0,an21,2011/4/04
0,an26,2011/4/04
0,anic32-001946,2017/2/27
0,anic32-002097,2017/1/13
0,anic32-002108,2017/1/13
0,anic32-002123,2017/1/13
0,anic32-002152,2017/1/23
0,anic32-002153,2017/1/23
0,anic32-002156,2017/1/23
0,anic32-002188,2017/1/23
0,anic32-006700,2017/10/24
0,anic32-006700-1,2017/10/27
0,anic32-006700-2,2017/10/27
0,anic32-017741,2017/1/18
0,anic32-017754,2017/1/18
0,anic32-017792,2017/2/27
0,anic32-017793,2017/2/27
0,anic32-017802,2017/2/26
0,anic32-017803,2017/2/26
0,anic32-017814,2017/1/18
0,anic32-031318,2018/6/24
0,anic32-032237,2017/10/24
0,anic32-032237-1,2017/10/27
0,anic32-032237-2,2017/10/27
0,anic32-043305,2017/1/18
0,anic32-059628,2017/10/27
0,anic32-063120,2017/2/27
0,anic32-066609-1,2017/10/27
0,anic32-066609-2,2017/10/27
0,anic32-066621,2017/10/27
0,anic32-066645-1,2017/10/27
0,anic32-066645-2,2017/10/27
0,anic32-066653,2017/10/27
0,anic32-066657,2017/10/24
0,anic32-066657-1,2017/10/27
0,anic32-066657-2,2017/10/27
0,anic32-066666,2017/10/27
0,anic32-900003-1,2017/10/27
0,anic32-900003-2,2017/10/27
0,anic32-900019-1,2017/10/27
0,anic32-900019-2,2017/10/27
0,anic32-900039,2017/10/27
0,anic32-900043,2017/10/27
0,anic32-900054-1,2017/10/27
0,anic32-900054-2,2017/10/27
0,anic32-900055-1,2017/10/27
0,anic32-900055-2,2017/10/27
0,anic32-900070-1,2017/10/27
0,anic32-900070-2,2017/10/27
0,anic32-900071,2017/10/27
0,anic32-900076,2017/10/27
0,anic32-900079,2017/10/27
0,anic32-900080-1,2017/10/27
0,anic32-900080-2,2017/10/27
0,anic32-900082-1,2017/10/27
0,anic32-900082-2,2017/10/27
0,anic32-900093,2017/10/27
0,anic32-900094,2017/10/27
0,anic32-900095,2017/10/27
0,anic32-900117-1,2017/10/27
0,anic32-900117-2,2017/10/27
0,anic32-900119-1,2017/10/27
0,anic32-900119-2,2017/10/27
0,anic32-900121-1,2017/10/27
0,anic32-900121-2,2017/10/27
0,anic32-900147-1,2017/10/27
0,anic32-900147-2,2017/10/27
0,anic32-900178,2017/10/27
0,anic32-900187,2017/10/27
0,anic32-900188,2017/10/27
0,anic32-900190-1,2017/10/27
0,anic32-900190-2,2017/10/27
0,anic32-900218,2017/10/27
0,anic32-900219,2017/10/27
0,anic32-900220,2017/10/27
0,anic32000054,2014/3/24
0,anic32017917,2014/3/24
0,anic32032053,2014/3/24
0,anic32037651,2014/3/24
0,anic32039031,2014/3/24
0,antweb1008000,2013/4/04
0,antweb1008001,2013/4/04
0,antweb1008002,2013/4/04
0,antweb1008003,2013/4/04
0,antweb1008004,2013/4/04
0,antweb1008005,2013/4/04
0,antweb1008006,2013/4/04
0,antweb1008007,2013/4/04
0,antweb1008008,2013/4/04
0,antweb1008009,2013/4/04
0,antweb1008010,2013/4/04
0,antweb1008011,2013/4/04
0,antweb1008012,2013/4/04
0,antweb1008013,2013/4/04
0,antweb1008014,2013/4/04
0,antweb1008015,2013/4/04
0,antweb1008016,2013/4/04
0,antweb1008017,2013/4/04
0,antweb1008018,2013/4/04
0,antweb1008019,2013/4/04
0,antweb1008020,2013/4/04
0,antweb1008021,2013/4/04
0,antweb1008022,2013/4/04
0,antweb1008023,2013/4/04
0,antweb1008024,2013/4/04
0,antweb1008025,2013/4/04
0,antweb1008026,2013/4/04
0,antweb1008027,2013/4/04
0,antweb1008028,2013/4/04
0,antweb1008029,2013/4/04
0,antweb1008030,2013/4/04
0,antweb1008031,2013/4/04
0,antweb1008032,2013/4/04
0,antweb1008033,2013/4/04
0,antweb1008034,2013/4/04
0,antweb1008035,2013/4/04
0,antweb1008036,2013/4/04
0,antweb1008037,2013/4/04
0,antweb1008038,2013/4/04
0,antweb1008039,2013/4/04
0,antweb1008040,2013/4/05
0,antweb1008041,2013/4/05
0,antweb1008042,2013/4/05
0,antweb1008043,2013/4/05
0,antweb1008044,2013/4/05
0,antweb1008045,2013/4/05
0,antweb1008046,2013/4/05
0,antweb1008047,2013/4/08
0,antweb1008048,2013/4/08
0,antweb1008049,2013/4/08
0,antweb1008050,2013/4/10
0,antweb1008051,2013/4/10
0,antweb1008052,2013/4/10
0,antweb1008053,2013/4/10
0,antweb1008054,2013/4/10
0,antweb1008055,2013/4/10
0,antweb1008056,2013/4/10
0,antweb1008057,2013/4/10
0,antweb1008058,2013/4/10
0,antweb1008059,2013/4/10
0,antweb1008060,2013/4/10
0,antweb1008061,2013/4/10
0,antweb1008062,2013/4/10
0,antweb1008063,2013/4/10
0,antweb1008064,2013/4/10
0,antweb1008065,2013/4/10
0,antweb1008066,2013/4/10
0,antweb1008067,2013/4/10
0,antweb1008068,2013/4/10
0,antweb1008069,2013/4/10
0,antweb1008070,2013/4/10
0,antweb1008071,2013/4/10
0,antweb1008072,2013/4/10
0,antweb1008073,2013/4/10
0,antweb1008074,2013/4/10
0,antweb1008075,2013/4/10
0,antweb1008076,2013/4/10
0,antweb1008077,2013/4/10
0,antweb1008078,2013/4/10
0,antweb1008079,2013/4/10
0,antweb1008080,2013/4/10
0,antweb1008081,2013/4/10
0,antweb1008082,2013/4/10
0,antweb1008083,2013/4/10
0,antweb1008084,2013/4/10
0,antweb1008085,2013/4/10
0,antweb1008086,2013/4/10
0,antweb1008087,2013/5/20
0,antweb1008088,2013/5/20
0,antweb1008089,2013/5/20
0,antweb1008090,2013/5/20
0,antweb1008091,2013/5/20
0,antweb1008092,2013/5/20
0,antweb1008093,2013/5/20
0,antweb1008094,2013/5/20
0,antweb1008095,2013/6/11
0,antweb1008096,2013/6/11
0,antweb1008097,2013/6/11
0,antweb1008098,2013/10/09
0,antweb1008100,2013/11/22
