,specimenCode,dateImageUploaded
0,casent0198767,2011/7/12
0,casent0198769,2011/7/12
0,casent0198861,2011/7/12
0,casent0198894,2011/7/13
0,casent0198901,2011/7/12
0,casent0198916,2011/7/12
0,casent0198931,2011/7/12
0,casent0198932,2011/7/12
0,casent0198933,2011/7/12
0,casent0198942,2010/3/23
0,casent0198944,2010/3/23
0,casent0198973,2011/5/04
0,casent0199109,2013/11/20
0,casent0199112,2013/11/20
0,casent0199114,2013/11/20
0,casent0199116,2013/11/20
0,casent0199118,2013/11/20
0,casent0199119,2013/11/20
0,casent0199128,2013/11/20
0,casent0199144,2013/11/20
0,casent0199152,2013/11/20
0,casent0199154,2013/11/20
0,casent0199164,2013/11/20
0,casent0199167,2013/11/20
0,casent0199169,2013/11/20
0,casent0199171,2013/11/20
0,casent0199172,2013/11/20
0,casent0199173,2013/11/20
0,casent0199174,2013/11/20
0,casent0199175,2013/11/20
0,casent0199176,2013/11/20
0,casent0199177,2013/11/20
0,casent0199178,2013/11/20
0,casent0199196,2013/11/20
0,casent0199200,2013/11/20
0,casent0199228,2013/11/20
0,casent0199229,2013/11/20
0,casent0199237,2013/11/20
0,casent0199238,2013/11/20
0,casent0199247,2013/11/20
0,casent0199250,2013/11/20
0,casent0199255,2013/11/20
0,casent0199271,2013/11/20
0,casent0199272,2013/11/20
0,casent0199275,2013/11/20
0,casent0199276,2013/11/20
0,casent0199277,2013/11/20
0,casent0199278,2013/11/20
0,casent0199287,2013/11/20
0,casent0199292,2013/11/22
0,casent0199331,2013/11/22
0,casent0199333,2013/11/22
0,casent0199336,2013/11/22
0,casent0199342,2013/11/22
0,casent0199343,2013/11/20
0,casent0199390,2013/11/20
0,casent0199477,2013/11/20
0,casent0199535,2013/11/20
0,casent0199546,2013/11/20
0,casent0199554,2013/11/20
0,casent0199559,2013/11/20
0,casent0199563,2013/11/20
0,casent0199568,2011/12/09
0,casent0199585,2013/11/20
0,casent0199586,2013/11/20
0,casent0199589,2013/11/20
0,casent0199602,2013/11/20
0,casent0199607,2011/12/29
0,casent0199621,2011/12/09
0,casent0199636,2013/11/20
0,casent0199657,2011/12/09
0,casent0199658,2011/12/09
0,casent0199666,2011/12/09
0,casent0199680,2011/12/09
0,casent0199705,2011/12/09
0,casent0199733,2011/12/28
0,casent0199735,2011/12/09
0,casent0199740,2013/11/20
0,casent0199747,2011/12/09
0,casent0199752,2011/12/09
0,casent0199786,2011/12/09
0,casent0199788,2011/12/09
0,casent0199793,2011/12/29
0,casent0199802,2011/12/29
0,casent0199807,2011/12/09
0,casent0199808,2011/12/29
0,casent0199811,2011/12/29
0,casent0199819,2013/11/20
0,casent0199827,2011/12/12
0,casent0199831,2013/11/20
0,casent0199834,2011/12/12
0,casent0199841,2011/12/12
0,casent0199845,2011/12/12
0,casent0199846,2012/1/04
0,casent0199859,2011/12/12
0,casent0199864,2011/12/12
0,casent0199868,2011/12/29
0,casent0199871,2011/12/12
0,casent0199873,2011/12/12
0,casent0199875,2011/12/12
0,casent0199877,2011/12/29
0,casent0199885,2011/12/29
0,casent0199890,2011/12/29
0,casent0199896,2011/12/29
0,casent0199901,2011/12/12
0,casent0199921,2011/12/12
0,casent0199931,2011/12/12
0,casent0199943,2011/12/21
0,casent0199963,2011/12/21
0,casent0199965,2011/12/21
0,casent0199967,2011/12/21
0,casent0199980,2011/12/21
0,casent0199994,2013/11/20
0,casent0200010,2015/5/06
0,casent0200241,2010/11/29
0,casent0200874,2015/5/06
0,casent0203393,2016/7/20
0,casent0203583,2016/7/20
0,casent0204505,2017/1/20
0,casent0205356,2015/1/16
0,casent0205644,2013/10/03
0,casent0205747,2013/1/14
0,casent0205990,2012/1/04
0,casent0205995,2011/12/08
0,casent0205996,2012/1/04
