,SpecimenCode,Species,isSoil,isGround,isArboreal,MicrohabString,Caste,sortingID
0,jtlc000008691,myrmicinaemyrmecina jtl002,False,True,False,ex sifted leaf litter,worker,623530
0,jtlc000008692,myrmicinaemyrmecina jtl001,False,True,False,ex sifted leaf litter,worker,623531
0,jtlc000008693,myrmicinaepheidole jtlaus002,False,True,False,ex sifted leaf litter,worker,623532
0,jtlc000008694,ponerinaemyopias tenuis,False,True,False,ex sifted leaf litter,worker,623533
0,jtlc000008695,ponerinaeectomomyrmex ruficornis,False,True,False,ex sifted leaf litter,worker,623534
0,jtlc000008696,myrmicinaetetramorium wroughtonii,False,True,False,ex sifted leaf litter,worker,623535
0,jtlc000008697,ectatomminaerhytidoponera kurandensis,False,True,False,ex sifted leaf litter,worker,623536
0,jtlc000008698,myrmicinaeeurhopalothrix australis,False,True,False,ex sifted leaf litter,worker,623537
0,jtlc000008699,ponerinaeodontomachus cephalotes,False,True,False,ex sifted leaf litter,worker,623538
0,jtlc000008700,formicinaepolyrhachis foreli,False,True,False,ex sifted leaf litter,queen,623539
0,jtlc000008701,myrmicinaelordomyrma jtl002,False,True,False,ex sifted leaf litter,worker,623540
0,jtlc000008702,ponerinaehypoponera jtlaus001,False,True,False,ex sifted leaf litter,worker,623541
0,jtlc000008703,amblyoponinaeprionopelta kraepelini,False,True,False,ex sifted leaf litter,worker,623542
0,jtlc000008704,myrmicinaepheidole jtlaus005,False,True,False,ex sifted leaf litter,worker,623543
0,jtlc000008705,proceratiinaediscothyrea velutina,False,True,False,ex sifted leaf litter,worker,623544
0,jtlc000008706,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,623545
0,jtlc000008707,myrmicinaelordomyrma jtl002,False,True,False,ex sifted leaf litter,worker,623546
0,jtlc000008708,ponerinaehypoponera jtlaus002,False,True,False,ex sifted leaf litter,worker,623547
0,jtlc000008709,myrmicinaepheidole jtlaus003,False,True,False,ex sifted leaf litter,worker,623548
