,SpecimenCode,Species,isSoil,isGround,isArboreal,MicrohabString,Caste,sortingID
0,jtl211346,myrmicinaestrumigenys subedentata,False,True,False,ex sifted leaf litter,worker,519040
0,jtl211347,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,519041
0,jtl211348,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519042
0,jtl211349,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519043
0,jtl211350,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519044
0,jtl211351,myrmicinaepheidole specularis,False,True,False,ex sifted leaf litter,worker,519045
0,jtl211352,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519046
0,jtl211353,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519047
0,jtl211354,ponerinaehypoponera (indet),False,True,False,ex sifted leaf litter,queen,519048
0,jtl211355,ponerinaethaumatomyrmex ferox_complex,False,True,False,ex sifted leaf litter,worker,519049
0,jtl211356,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519050
0,jtl211357,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,queen,519051
0,jtl211358,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519052
0,jtl211359,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,queen,519053
0,jtl211360,myrmicinaecarebara urichi,False,True,False,ex sifted leaf litter,worker,519054
0,jtl211361,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519055
0,jtl211362,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519056
0,jtl211363,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519057
0,jtl211364,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519058
0,jtl211365,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519059
0,jtl211366,myrmicinaepheidole protensa,False,True,False,ex sifted leaf litter,worker,519060
0,jtl211367,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519061
0,jtl211368,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519062
0,jtl211369,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519063
0,jtl211370,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519064
0,jtl211371,dorylinaesyscia jtl061,False,True,False,ex sifted leaf litter,worker,519065
0,jtl211372,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519066
0,jtl211373,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519067
0,jtl211374,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519068
0,jtl211375,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519069
0,jtl211376,ponerinaeodontomachus meinerti,False,True,False,ex sifted leaf litter,queen,519070
0,jtl211377,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519071
0,jtl211378,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519072
0,jtl211379,myrmicinaestrumigenys subedentata,False,True,False,ex sifted leaf litter,worker,519073
0,jtl211380,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519074
0,jtl211381,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519075
0,jtl211382,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519076
0,jtl211383,myrmicinaelachnomyrmex scrobiculatus,False,True,False,ex sifted leaf litter,worker,519077
0,jtl211384,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519078
0,jtl211385,myrmicinaemonomorium pharaonis,False,True,False,ex sifted leaf litter,worker,519079
0,jtl211386,myrmicinaeoctostruma balzani_complex,False,True,False,ex sifted leaf litter,worker,519080
0,jtl211387,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519081
0,jtl211388,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519082
0,jtl211389,myrmicinaepheidole protensa,False,True,False,ex sifted leaf litter,worker,519083
0,jtl211390,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519084
0,jtl211391,myrmicinaecephalotes cristatus,False,True,False,ex sifted leaf litter,worker,519085
0,jtl211392,ponerinaehypoponera (indet),False,True,False,ex sifted leaf litter,worker,519086
0,jtl211393,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519087
0,jtl211394,myrmicinaeadelomyrmex metzabok,False,True,False,ex sifted leaf litter,worker,519088
0,jtl211395,myrmicinaecarebara urichi,False,True,False,ex sifted leaf litter,worker,519089
0,jtl211396,myrmicinaelachnomyrmex scrobiculatus,False,True,False,ex sifted leaf litter,worker,519090
0,jtl211397,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,queen,519091
0,jtl211398,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,queen,519092
0,jtl211399,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,queen,519093
0,jtl211400,myrmicinaerogeria cornuta,False,True,False,ex sifted leaf litter,worker,519094
0,jtl211401,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519095
0,jtl211402,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519096
0,jtl211403,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519097
0,jtl211404,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519098
0,jtl211405,myrmicinaepheidole simonsi,False,True,False,ex sifted leaf litter,worker,519099
0,jtl211406,myrmicinaepheidole tuxtlasana,False,True,False,ex sifted leaf litter,worker,519100
0,jtl211407,ponerinaeneoponera unidentata,False,True,False,ex sifted leaf litter,worker,519101
0,jtl211408,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519102
0,jtl211409,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519103
0,jtl211410,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519104
0,jtl211411,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,worker,519105
0,jtl211412,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,worker,519106
0,jtl211413,myrmicinaecyphomyrmex rimosus_sl,False,True,False,ex sifted leaf litter,worker,519107
0,jtl211414,formicinaeacropyga exsanguis,False,True,False,ex sifted leaf litter,worker,519108
0,jtl211415,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519109
0,jtl211416,myrmicinaepheidole tuxtlasana,False,True,False,ex sifted leaf litter,worker,519110
0,jtl211417,myrmicinaepheidole nebulosa,False,True,False,ex sifted leaf litter,worker,519111
0,jtl211418,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519112
0,jtl211419,myrmicinaepheidole protensa,False,True,False,ex sifted leaf litter,worker,519113
0,jtl211420,myrmicinaepheidole specularis,False,True,False,ex sifted leaf litter,worker,519114
0,jtl211421,myrmicinaepheidole dossena,False,True,False,ex sifted leaf litter,worker,519115
0,jtl211422,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519116
0,jtl211423,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,queen,519117
0,jtl211424,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519118
0,jtl211425,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,worker,519119
0,jtl211426,ponerinaeanochetus mayri,False,True,False,ex sifted leaf litter,queen,519120
0,jtl211427,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519121
0,jtl211428,ponerinaehypoponera (indet),False,True,False,ex sifted leaf litter,worker,519122
0,jtl211429,myrmicinaesolenopsis geminata,False,True,False,ex sifted leaf litter,worker,519123
0,jtl211430,myrmicinaeoctostruma trithrix,False,True,False,ex sifted leaf litter,worker,519124
0,jtl211431,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,queen,519125
0,jtl211432,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,queen,519126
0,jtl211433,myrmicinaerogeria cornuta,False,True,False,ex sifted leaf litter,worker,519127
0,jtl211434,myrmicinaemonomorium ebeninum,False,True,False,ex sifted leaf litter,worker,519128
0,jtl211435,myrmicinaepheidole harrisonfordi,False,True,False,ex sifted leaf litter,worker,519129
0,jtl211436,ponerinaepachycondyla harpax,False,True,False,ex sifted leaf litter,worker,519130
0,jtl211437,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,worker,519131
0,jtl211438,myrmicinaesolenopsis geminata,False,True,False,ex sifted leaf litter,worker,519132
0,jtl211439,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519133
0,jtl211440,myrmicinaewasmannia auropunctata,False,True,False,ex sifted leaf litter,worker,519134
0,jtl211441,formicinaenylanderia (indet),False,True,False,ex sifted leaf litter,queen,519135
0,jtl211442,formicinaebrachymyrmex (indet),False,True,False,ex sifted leaf litter,worker,519136
0,jtl211443,myrmicinaestrumigenys brevicornis,False,True,False,ex sifted leaf litter,queen,519137
0,jtl211444,myrmicinaestrumigenys gundlachi,False,True,False,ex sifted leaf litter,worker,519138
0,jtl211445,myrmicinaestrumigenys margaritae,False,True,False,ex sifted leaf litter,worker,519139
0,jtl211446,myrmicinaestrumigenys subedentata,False,True,False,ex sifted leaf litter,worker,519140
0,jtl211447,myrmicinaestrumigenys ludia_complex,False,True,False,ex sifted leaf litter,worker,519141
0,jtl211448,amblyoponinaeprionopelta modesta,False,True,False,ex sifted leaf litter,queen,519142
0,jtl211449,myrmicinaelachnomyrmex scrobiculatus,False,True,False,ex sifted leaf litter,worker,519143
0,jtl211450,myrmicinaeoctostruma balzani_complex,False,True,False,ex sifted leaf litter,worker,519144
0,jtl211451,myrmicinaepheidole rugiceps,False,True,False,ex sifted leaf litter,worker,519145
0,jtl211452,myrmicinaepheidole purpurea,False,True,False,ex sifted leaf litter,worker,519146
0,jtl211453,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519147
0,jtl211454,myrmicinaerogeria cornuta,False,True,False,ex sifted leaf litter,worker,519148
0,jtl211456,myrmicinaerogeria inermis,False,True,False,ex sifted leaf litter,worker,519149
0,jtl211457,myrmicinaerogeria jtl006,False,True,False,ex sifted leaf litter,worker,519150
0,jtl211458,myrmicinaepheidole (indet),False,True,False,ex sifted leaf litter,queen,519151
0,jtl211459,ponerinaehypoponera nitidula,False,True,False,ex sifted leaf litter,queen,519152
0,jtl211460,myrmicinaesolenopsis (indet),False,True,False,ex sifted leaf litter,worker,519153
